Date,Target_House_Index_diff1,Recession,Hot_Market,Unemployment_Rate_L1,Unemployment_Rate_L2,Unemployment_Rate_L3,Unemployment_Rate_L4,CPI_diff1_L1,CPI_diff1_L2,CPI_diff1_L3,CPI_diff1_L4,Poverty_Rate_diff1_L1,Poverty_Rate_diff1_L2,Poverty_Rate_diff1_L3,Poverty_Rate_diff1_L4,Median_Household_Income_diff1_L1,Median_Household_Income_diff1_L2,Median_Household_Income_diff1_L3,Median_Household_Income_diff1_L4,Interest_Rate_diff1_L1,Interest_Rate_diff1_L2,Interest_Rate_diff1_L3,Interest_Rate_diff1_L4,Mortgage_Rate_diff1_L1,Mortgage_Rate_diff1_L2,Mortgage_Rate_diff1_L3,Mortgage_Rate_diff1_L4,Population_diff2_L1,Population_diff2_L2,Population_diff2_L3,Population_diff2_L4,GDP_diff3_L1,GDP_diff3_L2,GDP_diff3_L3,GDP_diff3_L4
1991-10-01,1.6000000000000085,0,0,6.1,5.2,5.3,4.9,0.8000000000000114,1.0,0.9000000000000057,2.5,0.15000000000000036,0.15000000000000036,0.17499999999999893,0.1750000000000007,-200.0,-200.0,770.0,770.0,-0.08999999999999986,-1.0,-1.1999999999999993,-0.040000000000000924,0.08249999999999957,-0.14499999999999957,-0.5400000000000009,0.14250000000000007,34.881756097561265,34.881756097560356,34.881756097561265,34.881756097561265,201.20399999999972,111.7460000000001,75.14999999999964,132.03200000000015
1992-01-01,0.30999999999998806,0,0,6.2,6.1,5.2,5.3,2.049999999999983,0.8000000000000114,1.0,0.9000000000000057,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.17499999999999893,-200.0,-200.0,-200.0,770.0,-0.6100000000000003,-0.08999999999999986,-1.0,-1.1999999999999993,-0.7199999999999989,0.08249999999999957,-0.14499999999999957,-0.5400000000000009,34.881756097561265,34.881756097561265,34.881756097560356,34.881756097561265,229.36200000000008,201.20399999999972,111.7460000000001,75.14999999999964
1992-04-01,-0.8199999999999932,0,0,6.6,6.2,6.1,5.2,-0.04999999999998295,2.049999999999983,0.8000000000000114,1.0,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,-200.0,-200.0,-200.0,-200.0,-1.1799999999999997,-0.6100000000000003,-0.08999999999999986,-1.0,-0.4230000000000018,-0.7199999999999989,0.08249999999999957,-0.14499999999999957,34.881756097560356,34.881756097561265,34.881756097561265,34.881756097560356,236.23999999999978,229.36200000000008,201.20399999999972,111.7460000000001
1992-07-01,0.8199999999999932,0,0,6.3,6.6,6.2,6.1,0.19999999999998863,-0.04999999999998295,2.049999999999983,0.8000000000000114,0.07499999999999929,0.15000000000000036,0.15000000000000036,0.15000000000000036,-1805.0,-200.0,-200.0,-200.0,-0.30000000000000027,-1.1799999999999997,-0.6100000000000003,-0.08999999999999986,0.42050000000000054,-0.4230000000000018,-0.7199999999999989,0.08249999999999957,34.881756097561265,34.881756097560356,34.881756097561265,34.881756097561265,264.826,236.23999999999978,229.36200000000008,201.20399999999972
1992-10-01,0.11000000000001364,0,0,7.0,6.3,6.6,6.2,1.700000000000017,0.19999999999998863,-0.04999999999998295,2.049999999999983,0.07499999999999929,0.07499999999999929,0.15000000000000036,0.15000000000000036,-1805.0,-1805.0,-200.0,-200.0,-0.48,-0.30000000000000027,-1.1799999999999997,-0.6100000000000003,-0.724499999999999,0.42050000000000054,-0.4230000000000018,-0.7199999999999989,34.881756097561265,34.881756097561265,34.881756097560356,34.881756097561265,302.10099999999966,264.826,236.23999999999978,229.36200000000008
1993-01-01,-0.23000000000000398,0,0,6.6,7.0,6.3,6.6,1.6499999999999773,1.700000000000017,0.19999999999998863,-0.04999999999998295,0.07500000000000107,0.07499999999999929,0.07499999999999929,0.15000000000000036,-1805.0,-1805.0,-1805.0,-200.0,-0.1499999999999999,-0.48,-0.30000000000000027,-1.1799999999999997,-0.040000000000000924,-0.724499999999999,0.42050000000000054,-0.4230000000000018,34.881756097560356,34.881756097561265,34.881756097561265,34.881756097560356,317.701,302.10099999999966,264.826,236.23999999999978
1993-04-01,0.20000000000000284,0,0,6.8,6.6,7.0,6.3,1.3500000000000227,1.6499999999999773,1.700000000000017,0.19999999999998863,0.07499999999999929,0.07500000000000107,0.07499999999999929,0.07499999999999929,-1805.0,-1805.0,-1805.0,-1805.0,-0.08000000000000007,-0.1499999999999999,-0.48,-0.30000000000000027,-0.09549999999999947,-0.040000000000000924,-0.724499999999999,0.42050000000000054,34.881756097561265,34.881756097560356,34.881756097561265,34.881756097561265,258.6959999999999,317.701,302.10099999999966,264.826
1993-07-01,0.01999999999999602,0,0,6.1,6.8,6.6,7.0,1.049999999999983,1.3500000000000227,1.6499999999999773,1.700000000000017,-0.15000000000000036,0.07499999999999929,0.07500000000000107,0.07499999999999929,1060.0,-1805.0,-1805.0,-1805.0,-0.06000000000000005,-0.08000000000000007,-0.1499999999999999,-0.48,-0.5205000000000011,-0.09549999999999947,-0.040000000000000924,-0.724499999999999,34.881756097561265,34.881756097561265,34.881756097560356,34.881756097561265,242.29800000000068,258.6959999999999,317.701,302.10099999999966
1993-10-01,0.539999999999992,0,1,6.8,6.1,6.8,6.6,0.3499999999999943,1.049999999999983,1.3500000000000227,1.6499999999999773,-0.14999999999999858,-0.15000000000000036,0.07499999999999929,0.07500000000000107,1060.0,1060.0,-1805.0,-1805.0,0.10000000000000009,-0.06000000000000005,-0.08000000000000007,-0.1499999999999999,-0.26599999999999824,-0.5205000000000011,-0.09549999999999947,-0.040000000000000924,34.881756097560356,34.881756097561265,34.881756097561265,34.881756097560356,201.29500000000007,242.29800000000068,258.6959999999999,317.701
1994-01-01,0.19000000000001194,0,0,6.3,6.8,6.1,6.8,1.1000000000000227,0.3499999999999943,1.049999999999983,1.3500000000000227,-0.15000000000000036,-0.14999999999999858,-0.15000000000000036,0.07499999999999929,1060.0,1060.0,1060.0,-1805.0,-0.06999999999999984,0.10000000000000009,-0.06000000000000005,-0.08000000000000007,-0.3719999999999999,-0.26599999999999824,-0.5205000000000011,-0.09549999999999947,34.881756097561265,34.881756097560356,34.881756097561265,34.881756097561265,284.27900000000045,201.29500000000007,242.29800000000068,258.6959999999999
1994-04-01,-0.9200000000000017,0,1,6.3,6.3,6.8,6.1,0.5999999999999943,1.1000000000000227,0.3499999999999943,1.049999999999983,-0.15000000000000036,-0.15000000000000036,-0.14999999999999858,-0.15000000000000036,1060.0,1060.0,1060.0,1060.0,0.05999999999999961,-0.06999999999999984,0.10000000000000009,-0.06000000000000005,0.22599999999999998,-0.3719999999999999,-0.26599999999999824,-0.5205000000000011,34.881756097561265,34.881756097561265,34.881756097560356,34.881756097561265,306.71299999999974,284.27900000000045,201.29500000000007,242.29800000000068
1994-07-01,-1.0700000000000074,0,0,5.6,6.3,6.3,6.8,0.549999999999983,0.5999999999999943,1.1000000000000227,0.3499999999999943,-0.1750000000000007,-0.15000000000000036,-0.15000000000000036,-0.14999999999999858,-37.5,1060.0,1060.0,1060.0,0.5100000000000002,0.05999999999999961,-0.06999999999999984,0.10000000000000009,1.2559999999999985,0.22599999999999998,-0.3719999999999999,-0.26599999999999824,34.881756097560356,34.881756097561265,34.881756097561265,34.881756097560356,364.83299999999963,306.71299999999974,284.27900000000045,201.29500000000007
1994-10-01,-0.8799999999999955,0,0,6.0,5.6,6.3,6.3,0.35000000000002274,0.549999999999983,0.5999999999999943,1.1000000000000227,-0.17499999999999893,-0.1750000000000007,-0.15000000000000036,-0.15000000000000036,-37.5,-37.5,1060.0,1060.0,0.6999999999999997,0.5100000000000002,0.05999999999999961,-0.06999999999999984,0.2980000000000018,1.2559999999999985,0.22599999999999998,-0.3719999999999999,34.881756097561265,34.881756097560356,34.881756097561265,34.881756097561265,317.33699999999953,364.83299999999963,306.71299999999974,284.27900000000045
1995-01-01,-0.28000000000000114,0,0,5.8,6.0,5.6,6.3,1.549999999999983,0.35000000000002274,0.549999999999983,0.5999999999999943,-0.1750000000000007,-0.17499999999999893,-0.1750000000000007,-0.15000000000000036,-37.5,-37.5,-37.5,1060.0,0.5,0.6999999999999997,0.5100000000000002,0.05999999999999961,0.31099999999999994,0.2980000000000018,1.2559999999999985,0.22599999999999998,34.881756097561265,34.881756097561265,34.881756097560356,34.881756097561265,339.6359999999995,317.33699999999953,364.83299999999963,306.71299999999974
1995-04-01,0.8900000000000006,0,0,6.1,5.8,6.0,5.6,0.45000000000001705,1.549999999999983,0.35000000000002274,0.549999999999983,-0.17499999999999893,-0.1750000000000007,-0.17499999999999893,-0.1750000000000007,-37.5,-37.5,-37.5,-37.5,0.7700000000000005,0.5,0.6999999999999997,0.5100000000000002,0.22250000000000014,0.31099999999999994,0.2980000000000018,1.2559999999999985,34.881756097560356,34.881756097561265,34.881756097561265,34.881756097560356,275.3580000000002,339.6359999999995,317.33699999999953,364.83299999999963
1995-07-01,1.25,0,0,5.9,6.1,5.8,6.0,1.0999999999999943,0.45000000000001705,1.549999999999983,0.35000000000002274,-0.025000000000000355,-0.17499999999999893,-0.1750000000000007,-0.17499999999999893,185.0,-37.5,-37.5,-37.5,0.5199999999999996,0.7700000000000005,0.5,0.6999999999999997,-0.8275000000000006,0.22250000000000014,0.31099999999999994,0.2980000000000018,34.881756097561265,34.881756097560356,34.881756097561265,34.881756097561265,249.92200000000048,275.3580000000002,339.6359999999995,317.33699999999953
1995-10-01,0.730000000000004,0,0,6.5,5.9,6.1,5.8,1.1999999999999886,1.0999999999999943,0.45000000000001705,1.549999999999983,-0.025000000000000355,-0.025000000000000355,-0.17499999999999893,-0.1750000000000007,185.0,185.0,-37.5,-37.5,-0.20000000000000018,0.5199999999999996,0.7700000000000005,0.5,-0.7125000000000004,-0.8275000000000006,0.22250000000000014,0.31099999999999994,34.881756097561265,34.881756097561265,34.881756097560356,34.881756097561265,227.83700000000044,249.92200000000048,275.3580000000002,339.6359999999995
1996-01-01,1.1700000000000017,0,0,6.0,6.5,5.9,6.1,-0.4000000000000057,1.1999999999999886,1.0999999999999943,0.45000000000001705,-0.025000000000000355,-0.025000000000000355,-0.025000000000000355,-0.17499999999999893,185.0,185.0,185.0,-37.5,-0.08999999999999986,-0.20000000000000018,0.5199999999999996,0.7700000000000005,-0.13250000000000028,-0.7125000000000004,-0.8275000000000006,0.22250000000000014,34.881756097561265,34.881756097561265,34.881756097561265,34.881756097560356,250.29700000000048,227.83700000000044,249.92200000000048,275.3580000000002
1996-04-01,-1.3500000000000085,0,1,5.9,6.0,6.5,5.9,1.1000000000000227,-0.4000000000000057,1.1999999999999886,1.0999999999999943,-0.025000000000000355,-0.025000000000000355,-0.025000000000000355,-0.025000000000000355,185.0,185.0,185.0,185.0,-0.20000000000000018,-0.08999999999999986,-0.20000000000000018,0.5199999999999996,-0.4450000000000003,-0.13250000000000028,-0.7125000000000004,-0.8275000000000006,34.881756097561265,34.881756097561265,34.881756097561265,34.881756097561265,287.47099999999955,250.29700000000048,227.83700000000044,249.92200000000048
1996-07-01,-1.009999999999991,0,0,5.8,5.9,6.0,6.5,1.8999999999999773,1.1000000000000227,-0.4000000000000057,1.1999999999999886,-0.09999999999999964,-0.025000000000000355,-0.025000000000000355,-0.025000000000000355,-352.5,185.0,185.0,185.0,-0.33999999999999986,-0.20000000000000018,-0.08999999999999986,-0.20000000000000018,0.8950000000000014,-0.4450000000000003,-0.13250000000000028,-0.7125000000000004,34.881756097561265,34.881756097561265,34.881756097561265,34.881756097561265,349.71500000000015,287.47099999999955,250.29700000000048,227.83700000000044
1996-10-01,0.6899999999999977,0,0,6.4,5.8,5.9,6.0,1.4000000000000057,1.8999999999999773,1.1000000000000227,-0.4000000000000057,-0.09999999999999964,-0.09999999999999964,-0.025000000000000355,-0.025000000000000355,-352.5,-352.5,185.0,185.0,0.1800000000000006,-0.33999999999999986,-0.20000000000000018,-0.08999999999999986,0.3200000000000003,0.8950000000000014,-0.4450000000000003,-0.13250000000000028,34.881756097561265,34.881756097561265,34.881756097561265,34.881756097561265,358.8220000000001,349.71500000000015,287.47099999999955,250.29700000000048
1997-01-01,0.4200000000000017,0,0,5.9,6.4,5.8,5.9,0.9000000000000057,1.4000000000000057,1.8999999999999773,1.1000000000000227,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,-0.025000000000000355,-352.5,-352.5,-352.5,185.0,-0.16000000000000014,0.1800000000000006,-0.33999999999999986,-0.20000000000000018,-0.33000000000000096,0.3200000000000003,0.8950000000000014,-0.4450000000000003,34.881756097560356,34.881756097561265,34.881756097561265,34.881756097561265,391.3030000000008,358.8220000000001,349.71500000000015,287.47099999999955
1997-04-01,-0.4200000000000017,0,1,6.0,5.9,6.4,5.8,0.5999999999999943,0.9000000000000057,1.4000000000000057,1.8999999999999773,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,-352.5,-352.5,-352.5,-352.5,0.009999999999999787,-0.16000000000000014,0.1800000000000006,-0.33999999999999986,-0.09100000000000019,-0.33000000000000096,0.3200000000000003,0.8950000000000014,34.881756097560356,34.881756097560356,34.881756097561265,34.881756097561265,329.8150000000005,391.3030000000008,358.8220000000001,349.71500000000015
1997-07-01,0.9599999999999937,0,0,5.5,6.0,5.9,6.4,0.4000000000000057,0.5999999999999943,0.9000000000000057,1.4000000000000057,-0.15000000000000036,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,500.0,-352.5,-352.5,-352.5,0.2599999999999998,0.009999999999999787,-0.16000000000000014,0.1800000000000006,0.3185000000000002,-0.09100000000000019,-0.33000000000000096,0.3200000000000003,34.881756097561265,34.881756097560356,34.881756097560356,34.881756097561265,387.41700000000037,329.8150000000005,391.3030000000008,358.8220000000001
